492	456
493	531
494	488
495	449
496	457
497	432
498	407
499	393
500	397
501	395
502	385
503	422
504	395
505	389
506	363
507	379
508	377
509	352
510	396
511	334
512	376
513	339
514	299
515	299
516	335
517	318
518	331
519	315
520	307
521	286
522	316
523	304
524	300
525	269
526	260
527	309
528	269
529	280
530	279
531	268
532	254
533	258
534	245
535	266
536	280
537	235
538	260
539	248
540	235
541	248
542	251
543	239
544	219
545	227
546	261
547	220
548	249
549	240
550	228
551	237
552	254
553	250
554	217
555	225
556	233
557	237
558	211
559	247
560	263
561	235
562	299
563	226
564	250
565	214
566	237
567	263
568	237
569	228
570	235
571	216
572	246
573	275
574	244
575	276
576	276
577	309
578	270
579	226
580	230
581	257
582	249
583	247
584	246
585	257
586	242
587	263
588	260
589	249
590	258
591	271
592	250
593	279
594	289
595	264
596	286
597	259
598	283
599	269
600	283
601	285
602	308
603	298
604	292
605	306
606	287
607	294
608	301
609	287
610	299
611	295
612	299
613	286
614	318
615	277
616	298
617	305
618	305
619	342
620	320
621	315
622	350
623	340
624	331
625	334
626	325
627	349
628	342
629	362
630	351
631	376
632	372
633	380
634	348
635	379
636	375
637	360
638	354
639	365
640	363
641	390
642	370
643	393
644	420
645	367
646	412
647	408
648	378
649	383
650	390
651	388
652	382
653	404
654	371
655	378
656	395
657	400
